   program_name  constant_write  var_write  read
0    program_22               6          4     2
1     program_2               6          2     1
2    program_17              13         14     4
3    program_16              35         10     1
4    program_24              37          9     2
5    program_11              30          6     0
6     program_7              32          0     0
7     program_1              55        314     1
8    program_12               4          2     0
9    program_19               0          1     1
10   program_15              33          0     0
11   program_13              29         35     1
12    program_8               1          9     2
13   program_10               1          2     1
14    program_0               0          1     1
15    program_5               0          5     4
16    program_4               2          1     2
17   program_21              17          5     0
18   program_14               0          1     1
19   program_20              59         11     0
20   program_18               0          1     1
21   program_23               9          2     4
22    program_3              21          0     0
23    program_9             161        131     0
24    program_6              16          2     0
